,id,company_id,experience_level,last_published_at,closed_at
5585,4969,388,3.0,2018-03-02 12:49:00.876 UTC,2018-11-12 19:49:30.68 UTC
5586,6392,2737,1.0,,2018-09-12 13:36:05.765 UTC
5587,5435,2464,3.0,2018-05-11 10:47:00.845 UTC,2018-07-11 09:11:41.719 UTC
5588,5254,429,2.0,2018-05-14 17:27:56.321 UTC,2018-08-31 02:00:18.347 UTC
5589,6041,596,1.0,2018-08-03 19:12:29 UTC,2018-10-03 11:10:46.968 UTC
5590,6894,2736,2.0,,
5591,6393,2736,2.0,2018-09-12 12:24:01.943 UTC,2018-10-08 15:22:36.769 UTC
5592,5290,388,3.0,2018-04-16 10:21:01.793 UTC,2018-11-09 11:47:16.961 UTC
5593,4934,1589,2.0,2018-02-23 12:38:45.081 UTC,2018-06-05 14:36:38.426 UTC
5594,4935,1589,2.0,2018-03-01 17:13:53.612 UTC,2018-06-05 14:36:49.983 UTC
5595,5175,2383,3.0,2018-03-28 10:09:47.232 UTC,2018-03-28 10:44:30.921 UTC
5596,6983,873,3.0,2018-11-13 11:44:24.262 UTC,2018-11-19 11:10:27.039 UTC
5597,6626,1829,2.0,2018-11-02 18:25:24.73 UTC,2018-11-21 17:48:19.069 UTC
5598,6078,2439,2.0,2018-08-21 16:04:16.407 UTC,2018-09-10 08:49:29.525 UTC
5599,6077,2439,1.0,2018-08-21 16:04:22.569 UTC,2018-09-10 08:49:05.938 UTC
5600,5317,1292,2.0,2018-04-24 10:37:32.365 UTC,
5601,5611,596,1.0,2018-06-13 13:12:08.588 UTC,2018-10-12 02:00:33.957 UTC
5602,5610,596,1.0,2018-06-13 18:33:01.867 UTC,2018-10-12 02:00:31.98 UTC
5603,6453,2759,3.0,2018-10-15 08:50:32.756 UTC,2019-01-25 17:10:00.803 UTC
5604,6450,2759,3.0,,
5605,6451,2759,3.0,,
5606,6459,2759,3.0,,
5607,6461,2759,3.0,,
5608,6460,2759,3.0,,
5609,5533,2511,2.0,2018-06-05 11:27:35.172 UTC,2018-08-28 10:19:30.257 UTC
5610,7244,2913,2.0,2018-12-07 11:54:35.556 UTC,2019-01-02 11:38:12.743 UTC
5611,7289,2913,2.0,2018-12-07 12:21:52.633 UTC,2019-01-02 11:37:55.978 UTC
5612,7234,2913,3.0,2018-12-07 11:53:16.932 UTC,2019-01-02 11:37:33.442 UTC
5613,7235,2913,1.0,,
5614,6016,2677,3.0,2018-08-01 05:06:19.533 UTC,
5615,5306,388,3.0,,2018-04-18 09:21:05.574 UTC
5616,7476,388,3.0,,
5617,5600,2477,2.0,2018-06-07 10:50:39.091 UTC,
5618,6271,2477,1.0,2018-09-05 07:10:56.397 UTC,
5619,5471,2477,2.0,2018-05-16 15:17:30.985 UTC,2018-06-07 10:43:10.326 UTC
5620,6013,2477,1.0,,
5621,6115,2477,1.0,2018-08-14 14:37:03.177 UTC,2018-09-04 15:27:38.533 UTC
5622,5475,2477,2.0,2018-05-16 15:17:17.018 UTC,2018-07-06 11:34:27.275 UTC
5623,5474,2477,1.0,2018-05-16 15:16:59.157 UTC,2018-09-04 15:19:31.209 UTC
5624,6674,1651,2.0,2018-10-19 11:24:46.2 UTC,2019-01-31 12:16:21.643 UTC
5625,5736,1651,3.0,2018-06-27 17:08:27.689 UTC,2018-10-10 14:37:33.145 UTC
5626,6040,2677,2.0,2018-08-03 06:27:40.969 UTC,2018-09-04 14:24:21.011 UTC
5627,5675,1294,2.0,2018-06-21 14:51:15.251 UTC,2018-10-25 16:50:38.886 UTC
5628,6217,868,1.0,2018-10-08 15:25:13.73 UTC,2019-01-16 14:39:23.979 UTC
5629,6215,868,2.0,2018-10-08 11:37:49.04 UTC,2018-10-22 15:25:47.663 UTC
5630,5515,2383,2.0,2018-06-04 12:44:14.373 UTC,2018-12-20 09:54:30.825 UTC
5631,5460,596,1.0,2018-05-15 13:11:22.434 UTC,2018-10-13 02:01:00.612 UTC
5632,6944,868,3.0,2018-11-07 18:14:38.583 UTC,2019-01-30 13:34:08.848 UTC
5633,5321,388,3.0,,2018-04-18 09:21:26.474 UTC
5634,5322,388,3.0,,2018-04-18 09:20:41.923 UTC
5635,7160,1829,3.0,2018-11-30 10:31:46.791 UTC,2019-01-23 02:00:47.23 UTC
5636,5552,1294,2.0,2018-06-05 15:04:37.18 UTC,2018-08-20 09:53:23.145 UTC
5637,5286,1967,4.0,2018-04-18 09:33:01.471 UTC,2018-12-15 02:01:06.278 UTC
5638,5243,1967,3.0,2018-04-09 09:54:43.887 UTC,2019-01-16 11:31:54.721 UTC
5639,5245,1967,4.0,2018-04-09 10:10:22.598 UTC,2018-07-09 13:50:59.578 UTC
5640,5260,1967,4.0,2018-04-09 15:23:53.254 UTC,2018-07-09 13:50:39.829 UTC
5641,5259,1967,3.0,2018-04-09 15:15:47.843 UTC,2018-07-09 13:50:21.918 UTC
5642,7525,873,3.0,,
5643,7519,873,3.0,,2019-01-22 17:14:06.372 UTC
5644,7191,873,3.0,2018-12-03 11:18:03.453 UTC,2018-12-07 08:12:45.04 UTC
5645,6663,1829,3.0,2018-11-02 18:40:43.398 UTC,2019-01-23 02:00:45.122 UTC
5646,6467,1829,2.0,2018-09-25 17:38:20 UTC,2019-01-23 02:00:48.65 UTC
5647,6469,1829,2.0,2018-09-26 10:49:06.142 UTC,2018-10-18 08:04:24.79 UTC
5648,6660,1829,2.0,,
5649,6658,1829,2.0,,
5650,6659,1829,2.0,,
5651,6698,1829,2.0,,
5652,6695,1829,3.0,,
5653,6694,1829,3.0,,
5654,6696,1829,2.0,,
5655,6691,1829,2.0,,
5656,6697,1829,2.0,,
5657,6699,1829,2.0,,
5658,6693,1829,2.0,,
5659,6692,1829,2.0,,
5660,6661,1829,2.0,2018-11-02 19:03:32.017 UTC,2018-11-20 09:05:35.383 UTC
5661,6024,640,2.0,2018-08-09 06:50:27.647 UTC,2018-10-29 10:03:07.46 UTC
5662,5376,2439,2.0,2018-04-26 15:52:15.873 UTC,2018-08-08 07:24:11.05 UTC
5663,6007,868,1.0,2018-07-27 22:44:06.041 UTC,2018-10-22 15:34:22.15 UTC
5664,7088,1829,2.0,2018-11-30 13:58:02.051 UTC,
5665,7184,1829,1.0,2018-11-30 14:15:38.049 UTC,
5666,7183,1829,2.0,,
5667,7182,1829,2.0,,
5668,6979,1829,2.0,2018-11-22 11:29:34.473 UTC,2018-12-04 09:06:33.412 UTC
5669,6978,1829,1.0,2018-11-22 10:24:35.714 UTC,2018-11-23 12:27:44.382 UTC
5670,6141,2597,2.0,2018-08-21 13:23:24.626 UTC,
5671,5911,868,1.0,,
5672,5824,868,1.0,2018-07-27 21:39:37.495 UTC,2018-10-22 11:44:37.296 UTC
5673,4083,1609,1.0,,
5674,3886,596,1.0,2017-07-04 16:15:55.339 UTC,2018-01-10 12:08:57.702 UTC
5675,3885,596,1.0,2017-07-05 08:36:46.203 UTC,2018-02-19 10:40:51.493 UTC
5676,4278,868,2.0,2017-11-06 11:36:24.842 UTC,2018-02-19 08:52:02.319 UTC
5677,4258,1967,3.0,2017-10-10 10:40:28.223 UTC,2018-04-09 10:37:27.98 UTC
5678,5247,1967,2.0,2018-04-09 10:36:11.606 UTC,2018-09-18 07:02:16.518 UTC
5679,4520,388,1.0,2017-12-01 17:07:44.93 UTC,2018-02-02 11:21:31.606 UTC
5680,3773,1643,2.0,,
5681,4431,3,3.0,2017-11-17 12:13:12.117 UTC,2019-01-16 02:00:35.099 UTC
5682,3715,1829,2.0,2017-05-30 09:34:52.272 UTC,2018-02-14 17:13:16.79 UTC
5683,3711,1829,2.0,2017-05-30 09:33:35.565 UTC,2018-02-15 02:00:33.319 UTC
5684,3713,1829,2.0,2017-05-30 09:32:59.809 UTC,2018-02-15 02:00:32.53 UTC
5685,3716,1829,2.0,2017-05-30 09:35:21.31 UTC,2018-01-07 02:00:37.77 UTC
5686,3719,1829,2.0,2017-05-30 09:31:19.468 UTC,2018-01-07 02:00:37.553 UTC
5687,3718,1829,2.0,2017-05-30 09:37:06.454 UTC,2018-08-10 10:38:51.172 UTC
5688,3717,1829,2.0,2017-05-30 09:36:05.941 UTC,2018-08-10 10:38:34.293 UTC
5689,3712,1829,2.0,2017-05-30 09:32:25.67 UTC,2017-09-05 13:57:53.619 UTC
5690,6997,1829,2.0,,
5691,7000,1829,2.0,,
5692,7003,1829,2.0,,
5693,7001,1829,2.0,,
5694,6994,1829,2.0,,
5695,6996,1829,2.0,,
5696,6999,1829,2.0,,
5697,6998,1829,2.0,,
5698,7004,1829,2.0,,
5699,6995,1829,2.0,,
5700,7002,1829,2.0,,
5701,6418,1829,3.0,,2018-09-19 09:03:23.535 UTC
5702,6423,1829,3.0,2018-09-18 11:33:38.237 UTC,2018-12-10 08:33:19.971 UTC
5703,6679,1829,3.0,2018-11-02 13:01:17.756 UTC,2018-11-07 08:42:59.37 UTC
5704,6976,1829,2.0,,
5705,4477,3,2.0,2017-11-23 15:08:37.93 UTC,2018-02-21 09:38:04.919 UTC
5706,3889,388,2.0,2017-07-05 15:16:45.176 UTC,2017-07-17 15:35:48.566 UTC
5707,4013,1963,2.0,2017-08-11 10:11:04.414 UTC,2018-02-21 11:02:41.52 UTC
